"mu1","kappa1","mu2","kappa2","loglikelihood","weight1","dataset","model"
"same green_hl",0,2.04564839882441,NA,NA,-19.3113083868915,1,"green_hl","same"
"diff green_hl",17.4565419056317,2.36133850817657,NA,NA,-17.6552943803378,1,"green_hl","diff"
"multi green_hl",350.879353738116,18.41,56.7228217179515,5.831,-14.294,0.569,"green_hl","multi"
"same uv_hl",0,0,NA,NA,-31.2439101289589,1,"uv_hl","same"
"diff uv_hl",78.7584543060627,0.762870429322288,NA,NA,-28.3361719253235,1,"uv_hl","diff"
"multi uv_hl",99.8665436913025,4.801,310.772308078959,20.949,-18.231,0.706,"uv_hl","multi"
"same uvg_h",0,4.46396642053966,NA,NA,-10.9220518996341,1,"uvg_h","same"
"diff uvg_h",-13.1081174097193,5.82698511766761,NA,NA,-8.40029730961056,1,"uvg_h","diff"
"multi uvg_h",173.949986601718,0.001,353.916030052309,20.418,-11.295,0.5,"uvg_h","multi"
"same uvg_l",0,0.18379015295037,NA,NA,-30.705724538937,1,"uvg_l","same"
"diff uvg_l",58.3920339364707,0.786136073737054,NA,NA,-28.2140100533173,1,"uvg_l","diff"
"multi uvg_l",312.720364582403,4.979,89.2668244813823,4.979,-22.077,0.347,"uvg_l","multi"
